filename,stt_text
56f59030-afe7-4eec-a333-efb60075cff4_207.wav, Uncle Tom's cabin
56f59030-afe7-4eec-a333-efb60075cff4_245.wav, 2011
56f59030-afe7-4eec-a333-efb60075cff4_269.wav, Native human pabersin
56f59030-afe7-4eec-a333-efb60075cff4_276.wav, 37
56f59030-afe7-4eec-a333-efb60075cff4_281.wav, Devil's Markle Ebony Feet
56f59030-afe7-4eec-a333-efb60075cff4_303.wav, Mingsmown.
56f59030-afe7-4eec-a333-efb60075cff4_342.wav, Elements
a9f22408-b802-4e4e-a3a4-d7fe2c9a0051_138.wav, David Copperfield
a9f22408-b802-4e4e-a3a4-d7fe2c9a0051_140.wav, DORE NEED
a9f22408-b802-4e4e-a3a4-d7fe2c9a0051_258.wav, The three musketeers.
a9f22408-b802-4e4e-a3a4-d7fe2c9a0051_46.wav, fun comp
a9f22408-b802-4e4e-a3a4-d7fe2c9a0051_73.wav, 22.
a9f22408-b802-4e4e-a3a4-d7fe2c9a0051_91.wav, Tabların GG?
a9f22408-b802-4e4e-a3a4-d7fe2c9a0051_94.wav, 982
c2854439-1e02-4fc7-b6e9-84a24214db67_141.wav, Kelly Jennifer Holland
c2854439-1e02-4fc7-b6e9-84a24214db67_159.wav, Can I book editions as hell?
c2854439-1e02-4fc7-b6e9-84a24214db67_235.wav, 26.
c2854439-1e02-4fc7-b6e9-84a24214db67_26.wav, 58
c2854439-1e02-4fc7-b6e9-84a24214db67_302.wav, Cleveland
c2854439-1e02-4fc7-b6e9-84a24214db67_317.wav, They seek what car.
c2854439-1e02-4fc7-b6e9-84a24214db67_63.wav, Can't love.
